Subject,Unit,Topic,Content,Learning_Objectives
BCS403,U3,Java New Features,"Java New Features: Functional Interfaces, Lambda Expression, Method References, Stream API, Default Methods, Static Method, Base64 Encode and Decode, ForEach Method, Try-withresources, Type Annotations, Repeating Annotations, Java Module System, Diamond Syntax with Inner Anonymous Class, Local Variable Type Inference, Switch Expressions, Yield Keyword, Text Blocks, Records, Sealed Classes",Apply new java features to build java programs
BCS403,U4,Java Collections Framework,"Java Collections Framework: Collection in Java, Collection Framework in Java, Hierarchy of Collection Framework, Iterator Interface, Collection Interface, List Interface, ArrayList, LinkedList, Vector, Stack, Queue Interface, Set Interface, HashSet, LinkedHashSet, SortedSet Interface, TreeSet, Map Interface, HashMap Class, LinkedHashMap Class, TreeMap Class, Hashtable Class, Sorting, Comparable Interface, Comparator Interface, Properties Class in Java.",Analyse java programs with Collection Framework
BCS403,U5,"Spring Framework, Spring Boot","Spring Framework: Spring Core Basics-Spring Dependency Injection concepts, Spring Inversion of Control, AOP, Bean Scopes- Singleton, Prototype, Request, Session, Application, Web Socket, Auto wiring, Annotations, Life Cycle Call backs, Bean Configuration styles Spring Boot: Spring Boot Build Systems, Spring Boot Code Structure, Spring Boot Runners, Logger, BUILDING RESTFUL WEB SERVICES, Rest Controller, Request Mapping, Request Body, Path Variable, Request Parameter, GET, POST, PUT, DELETE APIs, Build Web Applications",Test web and RESTful Web Services with Spring Boot using Spring Framework concepts
BVE301,U1,Introduction to Value Education,"Understanding the need, basic guidelines for Value Education, Self-Exploration, 'Natural Acceptance' and Experiential Validation, Continuous Happiness and Prosperity, Right understanding, Relationship, and Physical Facilities","Understand the significance of value inputs in a classroom, distinguish between values and skills, understand the need for value education"
BVE301,U2,Understanding Harmony in the Human Being,"Understanding human being as co-existence of the sentient 'I' and the material 'Body', Understanding the needs of Self ('I') and 'Body', Understanding the Body as an instrument of 'I', Understanding the harmony of I with the Body","Distinguish between the Self and the Body, and understand the meaning of Harmony in the Self and the Co-existence of Self and Body"
BVE301,U3,Understanding Harmony in the Family and Society,"Harmony in Human-Human Relationship, Understanding values in human-human relationship, Trust and Respect as foundational values, Understanding the harmony in society, Visualizing a universal harmonious order in society","Understand the value of harmonious relationships based on trust, respect, and other naturally acceptable feelings in human-human relationships"
BVE301,U4,Understanding Harmony in Nature and Existence,"Understanding the harmony in Nature, Inter connectedness, and mutual fulfillment among orders of nature, Understanding Existence as Co-existence, Holistic perception of harmony at all levels of existence","Understand the harmony in nature and existence, and workout their mutually fulfilling participation in nature"
BVE301,U5,Implications of Holistic Understanding on Professional Ethics,"Natural acceptance of human values, Definitiveness of Ethical Human Conduct, Humanistic Education, Constitution and Universal Order, Competence in Professional Ethics, Strategy for transition to Universal Human Order","Distinguish between ethical and unethical practices, and start working out the strategy to actualize a harmonious environment"
BCC301,U1,Introduction to Cyber Crime,"Cybercrime - Definition and Origins, Who are Cybercriminals? Classifications of Cybercrimes, A Global Perspective on Cybercrimes, Cyber offenses: How Criminals Plan the Attacks, Social Engineering, Cyber stalking",Understand the basic concepts of cyber security and cybercrimes
BCC301,U2,Cyber Crime,"Mobile and Wireless Devices, Proliferation of Mobile Devices, Credit Card Frauds in Mobile Computing Era, Security Challenges, Registry Settings, Authentication, Attacks on Mobile Phones, Organizational Security Policies",Understand the security policies and cyber laws
BCC301,U3,Tools and Methods Used in Cybercrime,"Proxy Servers and Anonymizers, Phishing, Password Cracking, Keyloggers and Spywares, Virus and Worms, Trojan-horses and Backdoors, Steganography, DoS and DDoS Attacks, SQL Injection, Buffer Overflow",Understand the tools and methods used in cyber crime
BCC301,U4,Understanding Computer Forensics,"Digital Forensics Science, The Need for Computer Forensics, Cyber forensics and Digital Evidence, Forensics Analysis of E-Mail, Digital Forensics Life Cycle, Chain of Custody, Network Forensics, Forensics and Social Networking Sites",Understand the concepts of cyber forensics
BCC301,U5,Introduction to Security Policies and Cyber Laws,"Need for Information Security Policy, Introduction to Indian Cyber Law, Digital Personal Data Protection Act 2023, Intellectual Property Issues, Patent, Copyright, Trademarks",Understand the cyber security policies and cyber laws
BAS303,U1,Partial Differential Equations,"Origin of Partial Differential Equations, Linear and Non-Linear PDEs of first order, Lagrange's Equations method, Charpit's method, Solution of Linear PDEs of Higher order with constant coefficients",Understand the idea of partial differential equation and its different types of solution
BAS303,U2,Applications of PDEs and Fourier Transform,"Method of separation of variables, Solution of heat equation, wave equation, Laplace Equation, Complex Fourier transform, Fourier sine transform, Fourier cosine transform, Inverse transform, Application to solve PDEs",Understand the concept of method of separation of variables and Fourier transform to solve partial differential equations
BAS303,U3,Statistical Techniques I,"Measures of central tendency, Moments, Skewness, Kurtosis, Curve Fitting, Method of least squares, Fitting of straight lines, parabola, Exponential curves, Correlation and Rank correlation, Regression Analysis","Understand the basic ideas of statistics including measures of central tendency, correlation, regression and their properties"
BAS303,U4,Statistical Techniques II,"Probability, Random variables, Probability mass function and density function, Expectation and variance, Discrete and Continuous Probability distribution: Binomial, Poission and Normal distributions","Understand the idea of probability, random variables, discrete and continuous probability distributions and their properties"
BAS303,U5,Statistical Techniques III,"Sampling Theory, Hypothesis Testing, Level of significance, Confidence limits, Test of significance, t-test, Z-test and Chi-square test, Statistical Quality Control, Control Charts for variables and attributes","Understand the statistical methods of studying data samples, hypothesis testing and statistical quality control"
BCC302,U1,Introduction to Python,"Python variables, Python basic Operators, Understanding python blocks. Python Data Types, Declaring and using Numeric data types: int, float etc.",Interpret the fundamental Python syntax and semantics and be fluent in the use of Python control flow statements
BCC302,U2,Python Program Flow Control,"Conditional blocks: if, else and else if, Simple for loops in python, For loop using ranges, string, list and dictionaries. Use of while loops, Loop manipulation using pass, continue, break and else",Express proficiency in the handling of strings and functions
BCC302,U3,Python Complex data types,"String data type and operations, Defining list and list slicing, Use of Tuple data type. String, List and Dictionary, Manipulations, String manipulation methods, List manipulation. Dictionary manipulation, Python Functions",Determine the methods to create and manipulate Python programs by utilizing the data structures
BCC302,U4,Python File Operations,"Reading files, Writing files in python, Understanding read functions, read(), readline(), readlines(). Understanding write functions, write() and writelines() Manipulating file pointer using seek",Identify the commonly used operations involving file systems and regular expressions
BCC302,U5,Python packages,"Simple programs using matplotlib, numpy, pandas etc. GUI Programming: Tkinter introduction, Tkinter and Python Programming, Tk Widgets, Tkinter examples","Articulate the Object-Oriented Programming concepts such as encapsulation, inheritance and
polymorphism as used in Python"
BOE404,U1,Energy and its Usage,"Units and scales of energy use, Mechanical energy and transport, Heat energy: Conversion between heat and mechanical energy, Electromagnetic energy: Storage, conversion, transmission and radiation, Introduction to the quantum, energy quantization, Energy in chemical systems and processes, flow of CO2, Entropy and temperature, carnot and Stirling heat engines, Phase change energy conversion, refrigeration and heat pumps, Internal combustion engines, Steam and gas power cycles, the physics of power plants. Solid-state phenomena including photo, thermal and electrical aspects",
BOE404,U2,Nuclear Energy,"Fundamental forces in the universe, Quantum mechanics relevant for nuclear physics, Nuclear forces, energy scales and structure, Nuclear binding energy systematics, reactions and decays, Nuclear fusion, Nuclear fission and fission reactor physics, Nuclear fission reactor design, safety, operation and fuel cycles",
BOE404,U3,Solar Energy,"Introduction to solar energy, fundamentals of solar radiation and its measurement aspects, Basic physics of semiconductors, Carrier transport, generation and recombination in semiconductors, Semiconductor junctions: metal-semiconductor junction & p-n junction, Essential characteristics of solar photovoltaic devices, First Generation Solar Cells, Second Generation Solar Cells, Third Generation Solar Cells",
BOE404,U4,Conventional & non-conventional energy source,"Biological energy sources and fossil fuels, Fluid dynamics and power in the wind, available resources, fluids, viscosity, types of fluid flow, lift, Wind turbine dynamics and design, wind farms, Geothermal power and ocean thermal energy conversion, Tidal/wave/hydro power",
BOE404,U5,Systems and Synthesis,"Overview of World Energy Scenario, Nuclear radiation, fuel cycles, waste and proliferation, Climate change, Energy storage, Energy conservation. Engineering for Energy conservation: Concept of Green Building and Green Architecture; Green building concepts, LEED ratings; Identification of energy related enterprises that represent the breath of the industry and prioritizing these as candidates; Embodied energy analysis and use as a tool for measuring sustainability. Energy Audit of Facilities and optimization of energy consumption",
BAS301,U1,Fundamentals of Communication and Voice Dynamics,"Role and Purpose of Communication, Types & Flow of Communication, Barriers to Effective Communication, 7 Cï¿½s of Communication, Code and Content; Stimulus & Response, Vowel Sounds, Consonant Sounds, Tone: Rising and Falling Tone.",Students will be able to UNDERSTAND the nature and objective of Technical Communication relevant for the work place as Engineers.
BAS301,U2,Communication Skills for Career Building,"CV and Rï¿½sumï¿½ Writing, Interview Skills, Group Discussion, Effective Profiling, Communication and Networking: Building relationships, Writing the Statement of Purpose (SOP) for admission in Higher Studies, Seminar & Conference Paper Writing, Expert Technical Lecture: Writing and Presenting.","Students will be able to DEVELOP an understanding of key concepts of writing, designing and speaking"
BAS301,U3,"Communication Skills for Presentation: Writing, Designing, and Speaking","Thesis and Project Report Writing, Technical Proposal Writing, How to Pitch an Idea: Process, Preparation and Structure, Elements of Speech Delivery: Passion, Poise & Illustrations.",Students will be able to UTILIZE the technical writing skills for the purposes of Technical Communication and its exposure in various dimensions.
BAS301,U4,Communication and Leadership Development,"Leadership Communication, Communication and Social competence: context, feelings, intentions, behaviors, Providing and Receiving feedback, Difference between Tact and Intelligence, Emotional Intelligence: Trust through Communication, Thinking Skills: Meaning and Types",Students will be able BUILD UP interpersonal communication traits that will make the transition from institution to workplace smoother and help them to excel in their jobs.
BAS301,U5,Digital Communication and Personality Making,"Content Creation for Social Media: Emails, Webinars, podcasts, Blogs. Effective and Ethical use of Social Media by Text and Technique, Speech and Personality, Personality Analysis: Types of Personality; Concept of Personality: Maslow, Freud, Vivekananda, Jung Typology &Personality Assessment.",Students will be able to APPLY technical communication to build their personal brand and handle crisis communication.
